"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"heterogeneity-effect"
"11/02/2025 23:41:04:682 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size","ticks"
"22","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3342905126450084","0","500"
"12","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.32879334279505845","0","500"
"5","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.364595886174322","0","500"
"1","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3621687360636024","0","500"
"18","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34099035284450724","0","500"
"6","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.384759089809933","0","500"
"2","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.31611123388818774","0","500"
"3","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34683947884375166","0","500"
"9","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3445203735109961","0","500"
"13","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3240492847882177","0","500"
"7","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38275027691077596","0","500"
"10","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36869509286096","0","500"
"19","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3634495565302206","0","500"
"8","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3896340092458018","0","500"
"15","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.41523025775929606","0","500"
"4","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3604721990735289","0","500"
"11","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4206800161885603","0","500"
"23","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33474586349522006","0","500"
"16","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3971685449246493","0","500"
"17","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40536682073802427","0","500"
"21","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.41519103865391443","0","500"
"24","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3569327899476661","0","500"
"14","200","6","5","small-world","true","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.42179933863971514","0","500"
"20","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4629275641607534","0","500"
"32","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.2632823926292643","0","500"
"28","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3197581598650925","0","500"
"30","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.32132255179361174","0","500"
"25","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38118554802492144","0","500"
"41","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3620174066341064","0","500"
"34","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3372392667156037","0","500"
"26","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38605756129299473","0","500"
"31","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3542209093977696","0","500"
"39","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3272620685056048","0","500"
"37","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3345981900438387","0","500"
"27","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3564269477783632","0","500"
"29","200","6","5","small-world","true","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.41043515803372754","0","500"
"48","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.348575284775203","0","500"
"35","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3882272284011848","0","500"
"36","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4100980801962419","0","500"
