"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"network-structure-effect"
"11/02/2025 23:41:21:910 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5]","variance [belief] of turtles"
"16","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3247223731686091","0","2.0336466355595802E-26"
"6","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3228750564260628","0","2.2212460463202823E-25"
"7","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37033943596373925","0","1.793867933198099E-27"
"12","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3746234548654512","0","7.201855339377363E-31"
"19","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3790559755627361","0","1.1862927889963063E-28"
"10","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37509086887861165","0","1.7704388003927679E-25"
"1","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.45219675170089774","0","3.924081293885001E-30"
"21","200","6","5","random","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40767207564795155","0","4.215289643908288E-31"
"14","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36395622284750556","0","1.8688126303485038E-28"
"8","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3866848683124833","0","1.2657637428269462E-30"
"22","200","6","5","random","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39066717052832733","0","1.6150713021072458E-31"
"9","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39773420923163777","0","1.1152973205587188E-30"
"24","200","6","5","random","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39271529538238925","0","3.0880380084384782E-30"
"17","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36105137726356257","0","6.430144849989159E-28"
"18","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4203772862475626","0","7.965878522943724E-31"
"5","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4322833366120271","0","7.895732089592375E-30"
"3","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40416915704610273","0","1.1892375455593142E-32"
"11","200","6","5","random","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4191797404544467","0","2.2157570445529204E-29"
