"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"verification-timing"
"11/02/2025 23:41:37:104 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5] / population-size","verified?","verification-tick"
"1","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.16052374816743228","0.16052374816743228","0","true","50"
"15","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.1640800243514077","0.1640800243514077","0","true","50"
"3","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.16127409932552228","0.16127409932552228","0","true","50"
"6","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.1510606915812497","0.1510606915812497","0","true","50"
"9","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.16362678842472622","0.16362678842472622","0","true","50"
"2","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.1682927597302799","0.1682927597302799","0","true","50"
"12","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.21500695754052984","0.21500695754052984","0","true","50"
"19","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.1399059645040182","0.1399059645040182","0","true","100"
"21","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.18257725375818878","0.18257725375818878","0","true","100"
"20","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.16278125772320376","0.16278125772320376","0","true","100"
"18","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.16954577930621798","0.16954577930621798","0","true","100"
"7","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.18461387078100397","0.18461387078100397","0","true","50"
"13","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.16892558152064402","0.16892558152064402","0","true","50"
"5","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.19796682300117852","0.19796682300117852","0","true","50"
"14","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.1818951059206341","0.1818951059206341","0","true","50"
"23","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.18228363052425553","0.18228363052425553","0","true","100"
"17","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.18172089542221517","0.18172089542221517","0","true","100"
"24","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.1893154620240384","0.1893154620240384","0","true","100"
"16","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.17951774621978128","0.17951774621978128","0","true","100"
"22","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.20163798593295632","0.20163798593295632","0","true","100"
"8","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.21966044272114207","0.21966044272114207","0","true","50"
"4","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.20944181602080017","0.20944181602080017","0","true","50"
"11","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.18104926195222648","0.18104926195222648","0","true","50"
"10","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","50","false","600","600","1","0.21679594448450273","0.21679594448450273","0","true","50"
"25","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.17146561754543252","0.17146561754543252","0","true","100"
"28","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.15785802149664663","0.15785802149664663","0","true","100"
"31","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.18786543777630577","0.18786543777630577","0","true","150"
"33","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.1511007491815447","0.1511007491815447","0","true","150"
"27","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.15879920969248976","0.15879920969248976","0","true","100"
"45","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.1884312824111477","0.1884312824111477","0","true","150"
"30","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.17007325086388111","0.17007325086388111","0","true","100"
"44","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.1667319181324713","0.1667319181324713","0","true","150"
"32","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.16613170735366925","0.16613170735366925","0","true","150"
"34","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.14750557942640383","0.14750557942640383","0","true","150"
"26","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","100","false","600","600","1","0.19717826848754222","0.19717826848754222","0","true","100"
"41","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.1560796775224666","0.1560796775224666","0","true","150"
