"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"learning-rate-sensitivity"
"11/02/2025 23:41:49:746 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size","variance [belief] of turtles"
"3","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.16450483076914815","0","8.865326546887702E-6"
"5","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.16450355240850917","0","2.5414626943997205E-6"
"2","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.17640788351103306","0","8.088594846269882E-6"
"9","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.1827202156883213","0","2.0280012208745836E-6"
"16","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.1838293928787441","0","1.672070594698181E-5"
"24","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.15620836990356513","0","2.3394556422526113E-5"
"1","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.1905104744347307","0","4.0068442607418757E-7"
"4","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.1534938347716932","0","2.327113415949965E-6"
"20","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.18540001552566363","0","4.868812539007939E-6"
"6","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.18352722271358723","0","1.270989105467271E-6"
"17","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.1631475911187404","0","1.9497218215415586E-6"
"18","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.19902604475301022","0","4.206662866732792E-6"
"12","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.19777791322997004","0","8.26634879846269E-8"
"10","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.20936062223802157","0","3.596570092728273E-6"
"11","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.23139737123678303","0","3.4069932728528685E-6"
"19","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.19129310635529453","0","1.9737241565486933E-6"
"8","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.16221620823287755","0","5.560390279138555E-7"
"23","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.1867067119293492","0","2.9748285553156348E-6"
"7","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.16257810365179032","0","3.2054767650298006E-7"
"14","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.15473582030269462","0","2.918500611226009E-6"
"15","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.16721727483961124","0","1.8023044288173877E-6"
"22","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.1897564149409173","0","5.917127414599931E-6"
"21","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.20652629022559857","0","2.4241152000463275E-8"
"13","200","6","5","small-world","false","0.2","0.05","0.5","0.15","3","10","true","200","false","600","600","1","0.2043424992780882","0","1.7309012644163257E-6"
"26","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.17045151845442855","0","2.7273772820475916E-7"
"25","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.21391539753275782","0","1.0556226885746343E-5"
"31","200","6","5","small-world","false","0.2","0.15","0.5","0.15","3","10","true","200","false","600","600","1","0.19765074289613555","0","7.005714273101934E-7"
"27","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.17322637240050553","0","2.7276061740698087E-6"
"33","200","6","5","small-world","false","0.2","0.15","0.5","0.15","3","10","true","200","false","600","600","1","0.17824249598193262","0","1.6546776305821937E-6"
"37","200","6","5","small-world","false","0.2","0.15","0.5","0.15","3","10","true","200","false","600","600","1","0.18570661905972086","0","2.1508820456827086E-6"
