"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"initial-trust-effect"
"11/02/2025 23:42:00:297 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size"
"20","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.26546838389929694","0"
"19","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.2881189861838983","0"
"12","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2800269378823464","0"
"13","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.1998227354142941","0"
"15","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2575036910778383","0"
"6","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2712577963310065","0"
"21","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.2994910625992626","0"
"7","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.29506557728390737","0"
"5","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2375959316743415","0"
"9","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2615169561667286","0"
"23","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.2664037338947464","0"
"1","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.3057745691493784","0"
"24","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.32617078045493414","0"
"8","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.22841655249702011","0"
"11","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.29717885615523487","0"
"10","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.22605870816600043","0"
"14","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.3259473637931862","0"
"4","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.3099420056463336","0"
"18","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.24863914623741107","0"
"16","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.30529510851769637","0"
"3","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2967535554136223","0"
"17","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.35498289429816504","0"
"22","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.285895574770106","0"
"2","200","6","5","small-world","true","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.331612806892266","0"
"26","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.2528811661594333","0"
"25","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.31923717094600496","0"
"27","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.23666262725022302","0"
"37","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.289722648768169","0"
"31","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34415893973656203","0"
"29","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.33065674621314467","0"
"36","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36622523067029855","0"
"42","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3725080771725955","0"
"32","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3663865952318321","0"
"41","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3312877160255902","0"
"28","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.3022253369519326","0"
"30","200","6","5","small-world","true","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.3074514475884541","0"
"33","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40678222432137934","0"
"34","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4130242493529018","0"
"35","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36426564665361433","0"
"40","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36008477679322765","0"
"46","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.5486881491395175","1"
"39","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4479766507903113","0"
"44","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.294216996276994","0"
"45","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.369695751134163","0"
"48","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4142986572936258","0"
"43","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3665030040161156","0"
"38","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3747068099039313","0"
