"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"full-factorial-analysis"
"11/02/2025 23:42:19:821 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5] / population-size","variance [belief] of turtles"
"9","200","6","5","random","true","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.357564541217865","0.357564541217865","0","5.54798932622614E-26"
"4","200","6","5","random","true","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.34678158620138094","0.34678158620138094","0","1.4257785203037697E-24"
"1","200","6","5","random","true","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3574941477302784","0.3574941477302784","0","1.0274343757210375E-27"
"22","200","6","5","random","true","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3322070803855711","0.3322070803855711","0","7.078565546930732E-25"
"5","200","6","5","random","true","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.34688594808946327","0.34688594808946327","0","5.245664533339632E-27"
"24","200","6","5","random","true","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.354908748519895","0.354908748519895","0","3.490172180826533E-29"
"19","200","6","5","random","true","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.5386378997465756","0.5386378997465756","1","2.6900305522729697E-31"
"8","200","6","5","random","true","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.36253419434824047","0.36253419434824047","0","2.0619912886632283E-26"
"2","200","6","5","random","true","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3266812902301489","0.3266812902301489","0","8.350627718892232E-23"
"21","200","6","5","random","true","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.38728901956976386","0.38728901956976386","0","5.595921655442442E-29"
"11","200","6","5","random","true","0.1","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.483793459357468","0.483793459357468","0","8.525966049283313E-32"
"6","200","6","5","random","true","0.1","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.36021508784500844","0.36021508784500844","0","9.02918293546569E-28"
