"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"false-vs-true-rumor"
"11/02/2025 23:40:55:253 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5]","variance [belief] of turtles","max [belief] of turtles","min [belief] of turtles with [rumor-known?]"
"10","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.30442793088710846","0.30442793088710846","0","7.3582360582678406E-6","0.3115190426119445","0.29863617184039254"
"1","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.35182830861889086","0.35182830861889086","0","1.5221678696829138E-6","0.3535036823433069","0.34770321629399453"
"17","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.34230672333695567","0.34230672333695567","0","9.241783055560756E-6","0.350428007332877","0.33757643930809933"
"4","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.32070286501964923","0.32070286501964923","0","5.296641592576254E-6","0.3275429204508694","0.3176370866570107"
"21","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3425819074506881","0.3425819074506881","0","7.531647009723176E-7","0.34441252474180006","0.3398596001727944"
"6","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3501120967135404","0.3501120967135404","0","5.430215429949925E-6","0.36079498465069654","0.345721139111288"
"14","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3441993893611162","0.3441993893611162","0","5.194362124521749E-6","0.3535038447704101","0.340946477914446"
"18","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.34950059305047615","0.34950059305047615","0","7.056767762146861E-6","0.3540482167131223","0.34110329311319293"
"8","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.33461144237623036","0.33461144237623036","0","1.8193172034509664E-6","0.33696747115683734","0.3306951845688661"
"5","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3367463088334035","0.3367463088334035","0","1.862294676275876E-6","0.3411170524360615","0.3346367943026889"
"9","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.33810451498818334","0.33810451498818334","0","8.785528647547141E-6","0.34112446794461737","0.3299006462382703"
"22","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.34642508309999803","0.34642508309999803","0","2.1180988201989213E-5","0.3582457894864659","0.335931616303537"
"20","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3345503187003637","0.3345503187003637","0","2.7838085430748406E-8","0.33502229481030843","0.33426022363698216"
"19","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3776333006474578","0.3776333006474578","0","1.0725756859957949E-7","0.3781670072809135","0.3767718448824326"
"13","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.36993322475706103","0.36993322475706103","0","4.822365155769092E-7","0.370636779501797","0.3680859058746039"
"7","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3219980009575828","0.3219980009575828","0","1.6091788662186568E-5","0.33037174525216384","0.3104554740033144"
"16","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3912199675741025","0.3912199675741025","0","2.6235454167357514E-6","0.39315735734564217","0.38674336430524814"
"12","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3796178221159021","0.3796178221159021","0","8.582938737952318E-6","0.3864803916162329","0.37364267380876703"
"11","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3868327561294577","0.3868327561294577","0","8.228077975383551E-5","0.42930004054363013","0.37869794432578663"
"2","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.39487886113129794","0.39487886113129794","0","7.647154066641294E-7","0.39739361868184725","0.3932632201755712"
"24","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.40686928424964514","0.40686928424964514","0","5.4393726644760946E-8","0.40731111255170055","0.4062086383114008"
"23","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.4104551657822168","0.4104551657822168","0","1.899829706394647E-7","0.4115043102736752","0.4093537166707056"
"15","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.38010247342971004","0.38010247342971004","0","1.9857215749479427E-7","0.38141373441474447","0.37835171919581895"
"3","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.417165193710469","0.417165193710469","0","3.9972680743424124E-5","0.4459043750907604","0.4079171596138921"
"34","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3196647859321665","0.3196647859321665","0","6.037464040046376E-5","0.34671974717552917","0.305577240492742"
"25","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.32898977983960015","0.32898977983960015","0","4.232958160682838E-7","0.3302348451201498","0.3270206000096585"
"30","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3544197411968877","0.3544197411968877","0","1.1540851548563963E-6","0.35720420613475434","0.35210063089247834"
